contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
VIX250521C00033000,2025-04-29 15:42:33+00:00,33.0,0.9,0.85,0.91,-0.02000004,-2.1739173,27,18736,1.2861363818359375,False,REGULAR,USD
VIX250521C00034000,2025-04-29 14:39:37+00:00,34.0,0.84,0.78,0.82,-0.120000005,-12.5,3,31103,1.3144565527343748,False,REGULAR,USD
VIX250521C00035000,2025-04-29 15:52:18+00:00,35.0,0.72,0.72,0.75,-0.059999943,-7.692301,543,197840,1.3457063964843747,False,REGULAR,USD
VIX250521C00036000,2025-04-29 15:19:32+00:00,36.0,0.67,0.66,0.68,-0.029999971,-4.2857103,62,74991,1.3701203369140624,False,REGULAR,USD
VIX250521C00037000,2025-04-29 15:53:24+00:00,37.0,0.62,0.6,0.63,-0.04000002,-6.060609,37,71224,1.39453427734375,False,REGULAR,USD
VIX250521C00038000,2025-04-29 15:47:53+00:00,38.0,0.57,0.55,0.59,-0.04000002,-6.55738,4639,15302,1.421877890625,False,REGULAR,USD
VIX250521C00039000,2025-04-29 15:53:24+00:00,39.0,0.53,0.51,0.54,-0.04000002,-7.017547,94,9758,1.4443387158203125,False,REGULAR,USD
VIX250521C00040000,2025-04-29 15:57:07+00:00,40.0,0.5,0.47,0.5,-0.050000012,-9.433965,586,131376,1.4658229833984375,False,REGULAR,USD
VIX250521C00042500,2025-04-29 14:39:34+00:00,42.5,0.45,0.4,0.45,-0.01000002,-2.1739173,3,35556,1.537111689453125,False,REGULAR,USD
VIX250521C00045000,2025-04-29 15:40:52+00:00,45.0,0.36,0.33,0.37,-0.01999998,-5.263153,512,92779,1.5761739941406248,False,REGULAR,USD
VIX250521C00047500,2025-04-29 15:30:53+00:00,47.5,0.3,0.28,0.32,-0.01999998,-6.2499943,1609,33677,1.623048759765625,False,REGULAR,USD
VIX250521C00050000,2025-04-29 15:50:17+00:00,50.0,0.26,0.24,0.28,-0.050000012,-16.129036,373,126537,1.6660172949218752,False,REGULAR,USD
VIX250521C00055000,2025-04-29 15:50:38+00:00,55.0,0.2,0.19,0.22,-0.030000001,-13.043478,1303,159175,1.75000125,False,REGULAR,USD
VIX250521C00060000,2025-04-29 15:40:28+00:00,60.0,0.17,0.15,0.17,0.010000005,6.2500033,1498,89362,1.81640716796875,False,REGULAR,USD
VIX250521C00065000,2025-04-29 15:10:19+00:00,65.0,0.13,0.12,0.14,-0.02000001,-13.333339,2201,60504,1.8789068554687498,False,REGULAR,USD
VIX250521C00070000,2025-04-29 15:18:50+00:00,70.0,0.1,0.08,0.11,-0.019999996,-16.666662,27,57271,1.90234423828125,False,REGULAR,USD
VIX250521C00075000,2025-04-29 15:46:51+00:00,75.0,0.08,0.07,0.09,-0.030000001,-27.272728,479,192277,1.953125234375,False,REGULAR,USD
VIX250521C00080000,2025-04-29 15:31:53+00:00,80.0,0.08,0.06,0.08,-0.030000001,-33.333332,4272,47787,2.00781748046875,False,REGULAR,USD
VIX250521C00085000,2025-04-29 15:29:22+00:00,85.0,0.03,0.03,0.07,-0.060000002,-66.666664,80,19717,2.00781748046875,False,REGULAR,USD
VIX250521C00090000,2025-04-29 15:26:52+00:00,90.0,0.04,0.03,0.06,0.01,33.333336,1282,23538,2.0625048437499998,False,REGULAR,USD
VIX250521C00095000,2025-04-28 19:22:36+00:00,95.0,0.05,0.01,0.05,0.0,0.0,6000,12056,2.031254921875,False,REGULAR,USD
VIX250521C00100000,2025-04-29 15:39:47+00:00,100.0,0.03,0.01,0.04,-0.020000001,-40.000004,350,18049,2.0625048437499998,False,REGULAR,USD
VIX250521C00110000,2025-04-29 15:25:01+00:00,110.0,0.03,0.0,0.04,0.0,0.0,2,19717,2.1250046874999997,False,REGULAR,USD
VIX250521C00120000,2025-04-24 19:31:02+00:00,120.0,0.04,0.0,0.03,0.0,0.0,10,2764,2.1718795703125,False,REGULAR,USD
VIX250521C00130000,2025-04-25 15:48:05+00:00,130.0,0.03,0.0,0.03,0.0,0.0,1,11825,2.2656293359374997,False,REGULAR,USD
VIX250521C00140000,2025-04-24 14:09:23+00:00,140.0,0.02,0.0,0.03,0.0,0.0,1,130,2.3437541406249993,False,REGULAR,USD
VIX250521C00150000,2025-04-25 16:41:32+00:00,150.0,0.03,0.0,0.02,0.0,0.0,50,7390,2.3437541406249993,False,REGULAR,USD
VIX250521C00160000,2025-04-23 19:31:02+00:00,160.0,0.04,0.0,0.02,0.0,0.0,1,37,2.4062539843749997,False,REGULAR,USD
VIX250521C00170000,2025-04-25 19:03:25+00:00,170.0,0.02,0.01,0.02,0.0,0.0,50,2085,2.56250359375,False,REGULAR,USD
VIX250521C00180000,2025-04-25 15:48:23+00:00,180.0,0.01,0.0,0.02,0.0,0.0,12,11056,2.56250359375,False,REGULAR,USD
VIX250521C00190000,2025-04-23 14:32:11+00:00,190.0,0.02,0.0,0.02,0.0,0.0,2,322,2.593753515625,False,REGULAR,USD
VIX250521C00200000,2025-04-23 19:14:08+00:00,200.0,0.01,0.0,0.02,0.0,0.0,33,1858,2.6562533593750004,False,REGULAR,USD
